,analysis_sample_rate,audio_md5,danceability,duration,end_of_fade_in,energy,idx_bars_confidence,idx_bars_start,idx_beats_confidence,idx_beats_start,idx_sections_confidence,idx_sections_start,idx_segments_confidence,idx_segments_loudness_max,idx_segments_loudness_max_time,idx_segments_loudness_start,idx_segments_pitches,idx_segments_start,idx_segments_timbre,idx_tatums_confidence,idx_tatums_start,key,key_confidence,loudness,mode,mode_confidence,start_of_fade_out,tempo,time_signature,time_signature_confidence,track_id,analyzer_version,artist_7digitalid,artist_familiarity,artist_hotttnesss,artist_id,artist_latitude,artist_location,artist_longitude,artist_mbid,artist_name,artist_playmeid,genre,idx_artist_terms,idx_similar_artists,release,release_7digitalid,song_hotttnesss,song_id,title,track_7digitalid,idx_artist_mbtags,year
0,22050,aee9820911781c734e7694c5432990ca,0.0,252.05506,2.049,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.777,-4.829,0,0.688,236.635,87.002,4,0.94,TRMMMYQ128F932D901,,4069,0.649822100201,0.394031892714,ARYZTJS1187B98C555,,,,357ff05d-848a-44cf-b608-cb34b5701ae5,Faster Pussy cat,44895,,0,0,Monster Ballads X-Mas,633681,0.542898743291,SOQMMHC12AB0180CB8,Silent Night,7032331,0,2003
1,22050,ed222d07c83bac7689d52753610a513a,0.0,156.55138,0.258,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.808,-10.555,1,0.355,148.66,150.778,1,0.0,TRMMMKD128F425225D,,113480,0.439603966677,0.356992107756,ARMVN3U1187FB3A1EB,,,,8d7ef530-a6fd-4f8f-b2e2-74aec765e0f9,Karkkiautomaatti,-1,,0,0,Karkuteillä,145266,0.299877488274,SOVFVAK12A8C1350D9,Tanssi vaan,1514808,0,1995
2,22050,96c7104889a128fef84fa469d60e380c,0.0,138.97098,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.418,-2.06,1,0.566,138.971,177.768,4,0.446,TRMMMRX128F93187D9,,63531,0.643680572058,0.437503836595,ARGEKB01187FB50750,55.8578,"Glasgow, Scotland",-4.24251,3d403d44-36ce-465c-ad43-ae877e65adc4,Hudson Mohawke,-1,,0,0,Butter,625706,0.617870969395,SOGTUKN12AB017F4F1,No One Could Ever,6945353,0,2006
3,22050,0f7da84b6b583e3846c7e022fb3a92a2,0.0,145.05751,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.125,-4.654,1,0.451,138.687,87.433,4,0.0,TRMMMCH128F425532C,,65051,0.448501159656,0.372349068517,ARNWYLR1187B9B2F9C,,,,12be7648-7094-495f-90e6-df4189d68615,Yerba Brava,34000,,0,0,De Culo,199368,,SOBNYVR12A8C13558C,Si Vos Querés,2168257,0,2003
4,22050,228dd6392ad8001b0281f533f34c72fd,0.0,514.29832,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.097,-7.806,0,0.29,506.717,140.035,4,0.315,TRMMMWA128F426B589,,158279,0.0,0.0,AREQDTE1269FB37231,,,,,Der Mystic,-1,,0,0,Rene Ablaze Presents Winter Sessions,209038,,SOHSBXH12A8C13B0DF,Tangle Of Aspens,2264873,0,0
5,22050,001717032b7105ee4de70f67bf7fba3e,0.0,816.53506,2.194,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.419,-21.42,1,0.581,811.799,90.689,4,0.158,TRMMMXN128F42936A5,,219281,0.361286979628,0.109625847059,AR2NS5Y1187FB5879D,,,,d087b377-bab7-46c4-bd12-15debebb5d61,David Montgomery,-1,,0,0,Berwald: Symphonies Nos. 1/2/3/4,299244,,SOZVAPQ12A8C13B63C,"Symphony No. 1 G minor ""Sinfonie Serieuse""/Allegro con energia",3360982,0,0
6,22050,eb4f5cb71ff1e50a279d1872929cf6b4,0.0,212.37506,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.611,-4.931,0,0.627,206.629,101.45,1,0.96,TRMMMLR128F1494097,,3736,0.692922730576,0.453731585999,ARO41T51187FB397AB,,"Mexico City, Mexico",,d2461c0a-5575-4425-a225-fce0180de3fd,Sasha / Turbulence,1396,,0,0,Strictly The Best Vol. 34,52968,,SOQVRHI12A6D4FB2D7,We Have Got Love,552626,0,0
7,22050,c5eaa27a919d3403cb12745056de0b21,0.0,221.20444,0.165,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.332,-12.214,0,0.35,212.12,98.02,4,0.982,TRMMMBB12903CB7D21,,49941,0.588156187675,0.401092425177,AR3Z9WY1187FB4CDC2,,,,bf61e8ff-7621-4655-8ebd-68210645c5e9,Kris Kross,9594,,0,0,Da Bomb,580432,,SOEYRFT12AB018936C,2 Da Beat Ch'yall,6435649,0,1993
8,22050,801588bb617e8dfb92df0465619f6a2c,0.0,139.17995,0.171,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.537,-10.705,1,0.523,130.479,115.427,1,0.324,TRMMMHY12903CB53F1,,15202,0.408465463469,0.285901196045,ARA04401187B991E6E,54.99241,"Londonderry, Northern Ireland",-7.31923,1a9bf859-1dc2-495b-9e7c-289be7731a9f,Joseph Locke,61524,,0,0,Danny Boy,756677,,SOPMIYT12A6D4F851E,Goodbye,8376489,0,0
9,22050,766c396dfd07dc2cc956603f8efcb7d0,0.0,104.48934,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.668,-20.16,0,0.48,104.489,124.339,4,1.0,TRMMMML128F4280EE9,,76721,0.41994127477,0.24913722954,ARCVMYS12454A51E6E,,,,,The Sun Harbor's Chorus-Documentary Recordings,50151,,0,0,March to cadence with the US marines,95069,,SOJCFMH12A8C13B0C2,Mama_ mama can't you see ?,1043208,0,0
10,22050,b2a5d78fda7fcc358a28124307c8d218,0.0,68.96281,0.363,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.05,-11.072,1,0.59,68.963,62.294,4,0.425,TRMMMNS128F93548E1,,483188,0.555013966104,0.352948913868,AR59BSJ1187FB4474F,,,,891fccfc-24c1-4bfd-bf49-c736e59e443f,3 Gars Su'l Sofa,-1,,0,0,Des cobras des tarentules,649271,,SOYGNWH12AB018191E,L'antarctique,7192392,0,2007
11,22050,f80961f31e87fd96496a6055af037f1f,0.0,168.22812,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.853,-10.418,1,0.656,165.413,87.319,3,0.953,TRMMMXJ12903CBF111,,182764,0.541389764483,0.369096249987,ARCVIFR1187B99129F,21.01841,"Guanajuato, Guanajuato, Mexico",-101.25912,ec57c22f-9bb7-48ab-aa85-dab108a71b53,Jorge Negrete,16768,,0,0,32 Grandes Éxitos  CD 2,714860,,SOLJTLX12AB01890ED,El hijo del pueblo,7928975,0,1997
12,22050,3510d0c3bac6ed15aaab6876be4317a3,0.0,301.60934,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.45,-4.882,1,0.52,291.405,85.34,5,0.581,TRMMMCJ128F930BFF8,,165382,0.622005388118,0.451578962861,ARVIT0V1187B9A7CDE,,,,2eb02f8c-8dfa-49dc-a224-11051ec45a42,Danny Diablo,-1,,0,0,International Hardcore Superstar,620618,0.392008771471,SOQQESG12A58A7AA28,Cold Beer feat. Prince Metropolitan,6893903,0,0
13,22050,873d1d86b520c89ae05492b8f577afdd,0.0,318.45832,0.502,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.764,-10.67,1,0.627,306.265,67.567,3,0.676,TRMMMBW128F4260CAE,,5823,0.621826485807,0.406984727155,AREMPER1187B9AEB42,,,,14efbb08-c3d8-404c-9ead-ad71fa586ee6,Tiger Lou,-1,,0,0,The Loyal,204414,0.463489662237,SOMPVQB12A8C1379BB,Pilots,2218694,0,2005
14,22050,34c290977bca33774d6a0c5ea5906fa9,0.0,273.18812,0.34,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.226,-15.559,0,0.35,259.738,111.007,4,0.693,TRMMMXI128F4285A3F,,107401,0.543689917453,0.373679185802,ARBAMQB1187FB3C650,,,,0bb5e108-b41d-46cd-969e-69d34d1acdfe,Waldemar Bastos,21683,,0,0,Afropea 3 - Telling Stories To The Sea,218915,0.449940204043,SOGPCJI12A8C13CCA0,N Gana,2387740,0,0
15,22050,01e0de50a9538be692285b6eb9ff6d50,0.0,262.26893,0.194,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.038,-3.925,1,0.337,259.419,122.332,4,0.905,TRMMMKI128F931D80D,,63158,0.529819134567,0.410228511159,ARSB5591187B99A848,57.42635,"Vetlanda, Sweden",15.08518,fba3e876-68f1-4a1f-99d9-c604480202ba,Lena Philipsson,-1,,0,0,Lena 20 År,543019,0.212045405484,SOSDCFG12AB0184647,006,6010886,0,1998
16,22050,c35b10dab705b836b5cd226c519da024,0.0,216.47628,2.032,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.564,-14.379,1,0.655,208.062,99.214,4,0.0,TRMMMUT128F42646E8,,2752,0.685502832087,0.44673296759,ARDW5AW1187FB55708,42.78668,"Vermillion, SD",-96.92803,42222090-c5e5-4243-8582-c29bc8b63ec6,Shawn Colvin,1431,,0,0,Cover Girl,282071,0.270775998946,SOBARPM12A8C133DFF,(Looking For) The Heart Of Saturday,3156269,0,1994
17,22050,b00607a10b602f31a85cbc482f3518ea,0.0,196.0224,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.195,-6.366,1,0.146,185.202,189.346,7,0.864,TRMMMQY128F92F0EA3,,8066,0.734471413543,0.511975832943,ARGWPP11187B9AEF43,38.8235,Maryland,-75.92381,f76167bb-c117-4022-8b6b-54c796edf5c9,Dying Fetus,51871,,0,0,Descend Into Depravity,610151,0.614765809281,SOKOVRQ12A8C142811,Ethos of Coercion,6782293,0,2009
18,22050,1f2a17fe378283b09c849a69977495ae,0.0,217.57342,0.514,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.77,-4.867,0,0.417,214.309,88.423,4,0.743,TRMMMTK128F424EF7C,,21191,0.738995906455,0.563366896149,ARDT9VH1187B999C0B,,South Carolina,,6b22de04-fb48-44aa-bd02-c1427f635477,Emery,10889,,0,0,I'm Only A Man (Bonus Track Version),143873,0.717319034427,SOIMMJJ12AF72AD643,Rock-N-Rule,1501464,0,2007
19,22050,ec54b9f465fee8deee5d87d9ab9f2c14,0.0,355.60444,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.55,-7.89,1,0.655,349.309,102.397,4,0.903,TRMMMHQ128F4278194,,68575,0.467144844943,0.409127079449,ARWFDED1187B9B9D71,,,,8ff7e1b4-18f8-48ec-a8a0-793ab1a5511c,Los Ronaldos,-1,,0,0,La bola extra,212920,,SOVMBTP12A8C13A8F6,La bola extra,2318206,0,0
20,22050,bbf1ef1bf188cf1a1f40b8fe3ceff77d,0.0,353.77587,0.351,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.216,-7.569,1,0.425,343.255,167.85,4,0.195,TRMMMQV12903CA201E,,101173,0.377190202702,0.290242069993,ARVF2AD1187FB47580,,,,fd711779-5524-4ed3-8d68-da0b867caa34,Rev. Timothy Wright,115336,,0,0,Let's Celebrate (He Is Risen),572568,0.290303598737,SOOUESZ12AB0189AFD,I Made It Over,6345139,0,0
21,22050,7ce886966daa60692d51636298de6dca,0.0,93.12608,0.098,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.323,-29.369,1,0.281,82.57,120.997,7,0.256,TRMMMMV128F14746A5,,6620,0.41373893722,0.383463207779,AR0GK7N1187B9AC56C,,,,bfc4370b-c0d9-46c7-825b-bf09f9b65264,Pierre-Laurent Aimard,14355,,0,0,Debussy : 12 Etudes_ Images Sets 1 & 2,34852,0.0,SOAGMGG12A6D4F9099,Debussy : 12 Etudes : VI Pour les huit doigts,373519,0,0
22,22050,fde22f436311094ffc90db0bd280ae1d,0.0,213.4722,0.142,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.577,-9.257,0,0.5,213.472,135.747,4,1.0,TRMMMPN128F426610E,,114787,0.593554248297,0.297175632718,AR66C9X1187B98F7EA,,"Glasgow, Scotland",,b9313805-5fe0-4f1b-9f5c-9e52565a5a3d,Nicolette,-1,,0,0,Let No One Live Rent Free In Your Head,146536,,SOGFWVT12A8C137C64,Nervous,2242562,0,1996
23,22050,247411db8aec707f66780498b1e72c0d,0.0,319.81669,7.146,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.256,-7.185,1,0.341,307.386,187.378,3,0.824,TRMMMNO128F93539AA,,4411,0.641197514984,0.44865347113,AR4TLW81187B99683D,,"Syracuse, NY",,0685ac4a-5cfc-408a-b391-903ea20e00bf,Martin Sexton,53504,,0,0,In The Journey,519740,,SOKLPMH12AB01861FA,In The Journey,5749967,0,2001
24,22050,029c2a9a59aaab756b0bbd8253f9eaa6,0.0,204.19873,0.207,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.435,-12.402,1,0.391,201.021,92.085,5,0.951,TRMMMTG128F426B5BB,,203740,0.559135107732,0.404593856077,ARDPJYJ11F4C83E24A,31.1689,Miami FL,-100.07715,,Craze,-1,,0,0,Crazeë Musick,249485,,SOEPAIN12A8C1396A7,Fuckin Ethic People (999),2851707,0,0
25,22050,a146d0e2b6cef21f46081e8f6ff23854,0.0,258.89914,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.688,-4.66,1,0.596,250.149,157.862,1,0.01,TRMMMPJ128F9306985,,61830,0.583716758983,0.396612571069,ARBE9HD1187FB40016,,,,8cc00e45-94c9-40e0-882b-0e76dd5b472b,Christian Castro,329,,0,0,Hoy Quiero Soñar,447219,0.244160429966,SOQMZZI12AB01850D4,Tu Vida Con La Mía,4970915,0,0
26,22050,c0d72e5811fb375593ce462059e90f80,0.0,253.70077,0.218,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.749,-3.278,1,0.602,253.701,67.06,4,0.235,TRMMMRZ128F4265EB4,,10173,0.853382869278,0.610431620431,AR12F2S1187FB56EEF,,"Boston, MA",,3d2b98e5-556f-4451-a3ff-c50ea18d57cb,Aerosmith,39,,0,0,Honkin' On Bobo,282499,,SOEEHEY12CF5F88FB4,I'm Ready,3162359,0,2004
27,22050,367db26137ee30ad7eee9b2e5b9a65ce,0.0,210.93832,0.247,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.446,-7.664,1,0.167,210.938,207.903,4,0.342,TRMMMKD12903CF219E,,52624,0.729867325353,0.417882034272,AREH0O41187FB4C405,,Oakland,,83e32d32-fee5-45de-a4b6-b49956a069eb,Skinlab,130846,,0,0,Nerve Damage,734700,0.224820030293,SOWUMAZ12A67ADE769,Take As Needed,8138503,0,2002
28,22050,0f781d4be4dc2987eb3fb9d1fa82dff2,0.0,180.55791,3.512,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.819,-16.44,0,0.747,175.119,132.156,4,0.558,TRMMMRR12903CF395D,,91211,0.430914126593,0.0,ARN5X9D1187B998A6D,,,,2f338a80-cae4-40e8-a0f7-9b5468479e3a,Mike Badger and Friends,-1,,0,0,Lo Fi_ Acoustic Excursions,689856,,SOJJAZT12AC4687219,Autumn In The Mind (Acoustic Version),7656579,0,0
29,22050,a692673dcef8a1759df6b9a300d63bcf,0.0,216.0322,0.357,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.052,-12.143,1,0.27,212.149,179.396,4,0.719,TRMMMJW12903CF239E,,267954,0.542921743934,0.4112408291,AR52DCD1187B992B5F,,Roma,,80d946ff-0567-4882-ad91-77c5d47448b8,Piotta,-1,,0,0,Tequila il mambo del giubileo (12 Inc),779471,,SOMLHJQ12AC4685B45,Tequila,8626743,0,0
30,22050,9dbf8dffb682d2f6ece1c61f3c56f6ef,0.0,236.042,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.427,-6.909,0,0.262,215.986,98.099,4,1.0,TRMMMWA128F1462C8C,,75877,0.501415339627,0.337593152829,ARPMCDB1187FB4B5D2,40.71455,New York,-74.00712,97989c9f-4efd-436a-b74e-c9914e9f3d06,Sev Statik,101815,,0,0,Speak Life,26385,,SOYNOIK12A6D4F7F3F,All For A Purpose (Speak Life Album Version),285211,0,0
31,22050,eadac2a56525f5626bad5f86a6271de6,0.0,466.99057,2.438,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.754,-7.8,0,0.509,453.178,140.022,4,0.0,TRMMMOT128F931A571,,29162,0.597051561408,0.353114024096,AR00P3M1187FB5428C,,,,b3a35974-4703-4423-92bf-a1b5ac6cac3b,The Advent,-1,,0,0,C On,626259,,SOPUJOM12AB017FEEB,C On,6952931,0,0
32,22050,204120d44d3990d16faa70b52f0e360c,0.0,212.06159,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.446,-7.69,0,0.563,198.972,120.703,4,0.701,TRMMMQN128F4238509,,31611,0.684808063021,0.485444750548,ARJ3CTF1187B9A1F2E,,,,4c8ead39-b9df-4c56-a27c-51bc049cfd48,Prince & The Revolution,-1,,0,0,The Hits/The B-Sides,133264,0.323112120895,SOGNNYL12A6D4F910B,Raspberry Beret (LP Version),1381741,0,0
33,22050,fcb00691ccfe4b0562d1b44e5ca3e180,0.0,372.4273,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.229,-6.663,1,0.396,355.062,191.665,3,0.665,TRMMMKQ128F92EBCB5,,10146,0.740252305663,0.472691458988,AR79L0D1187FB3AFB6,51.4518,Essen,7.01062,39822e8d-f24e-4f07-b51b-28b22e59fbdb,Kreator,213899,,0,0,Violent revolution,479022,0.788726822456,SOOLRHW12A8C142643,All of the same blood,5317548,0,2001
34,22050,defe679b4c3df2b3165653c5d3d74b35,0.0,92.73424,0.183,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.046,-8.408,1,0.407,88.114,148.577,4,0.527,TRMMMQK128F428AB1F,,85490,0.534742140848,0.299177305722,ARR4EXL1187B9A4E3C,39.73926,Illinois,-89.50409,84c3cdf1-7872-4360-81fa-e3511eafe1c8,Hall Of Fame,-1,,0,0,Hall Of Fame,220586,0.0,SOMKNZS12A8C13DEBC,One Little Too Little,2408454,0,1996
35,22050,24f4ceae5c224c8e1e6c755824a24327,0.0,155.19302,0.084,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.51,-13.588,1,0.586,146.332,67.118,5,0.228,TRMMMPU128F42B134D,,30249,0.446256666541,0.346357522243,AR0G47L1187B98CC6D,50.91552,"Battle, Sussex, England",0.48883,1ab5ec20-743e-4f11-9c37-237f190ae447,Frank Chacksfield,158461,,0,0,Classic Years,238993,0.460484844986,SOYKVON12A8C14097E,Cockleshell Heroes,3484384,0,2007
36,22050,045d79b78b9151d1f77354e4b56cf73d,0.0,95.34649,3.349,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.761,-13.174,1,0.592,95.346,118.772,4,0.0,TRMMMYP128F429A5E4,,131522,0.525483906128,0.314066506467,ARQJYSJ1187FB4CDF3,,,,6bf918da-7c90-4b96-9661-0f30bc4f15c8,Voyage,82273,,0,0,Voyage,172642,,SOEXAWC12AB01817E6,Trancesequence,1841489,0,0
37,22050,7cd7e2a43e70e163b12d3f57036d45e7,0.0,437.7073,0.154,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.546,-8.105,1,0.477,429.116,132.926,4,0.245,TRMMMKN12903CB44A5,,33,0.656700158051,0.476213225716,AR3TG9F1187B98E0D3,50.72805,"Devon, England",-3.71925,406f1b42-0c9e-4427-aeb7-02f78e188ec4,Wishbone Ash,9006,,0,0,TRANCE VISIONARY,799812,0.0,SOKQCDA12A6D4FA556,Wonderful Stash,8847762,0,1998
38,22050,d27fa00bd372985b594ae5a1bf946076,0.0,456.59383,0.073,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.176,-5.688,1,0.466,451.791,99.162,4,0.545,TRMMMUZ128F4238E64,,186843,0.433450646174,0.349260317093,AR2AP091187FB53FC3,,,,5871ab3e-f48b-46ba-b036-03f81e81d8ad,Malavoi,-1,,0,0,Le meilleur,241530,,SOFWVLR12A8C1328DC,La filo,2634064,0,0
39,22050,741bfbf4c874a3903c6efd815ac2b5dd,0.0,246.54322,0.258,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.777,-7.957,1,0.742,235.079,94.782,4,0.36,TRMMMTP128F4276193,,105045,0.562282347297,0.367738816864,ARPUVK01187B998FB1,,Ohio,,f9539ebb-1984-43df-ab84-b8f73e97d952,Cobra Verde,-1,,0,0,Easy Listening,250835,0.0,SOLRKBF12A8C13C88A,Throw It Away,2900722,0,2003
40,22050,c81e7887d0036b77ecd5fbbf2659c29a,0.0,141.87057,0.525,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.605,-7.572,1,0.625,141.871,158.802,4,0.0,TRMMMSA128F425FA38,,140359,0.386827768314,0.311882922075,ARYZAZX1187FB5BA03,49.10516,"Surrey, British Columbia, Canada",-122.83019,127c9dae-1aeb-43bc-a930-ecff36b01bc8,Lisa Brokop,78619,,0,0,Lisa Brokop,203899,,SOBDLRM12A8C13A0AC,Before He Kissed Me,2213839,0,0
41,22050,4d9e035448dad426036d9a8a859f30b9,0.0,276.1922,2.659,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.485,-13.729,0,0.577,262.165,168.762,4,0.0,TRMMMHS128F42A0971,,49943,0.638475883027,0.411904524979,ARCB9IH1187FB52D15,,,,6ff13427-08ff-4da2-bee8-892e1fa22d3c,The Emotions,5040,,0,0,Rejoice,302131,,SOMXBRA12AB017C656,Blessed,3415158,0,1977
